price,house_type,acreage,width,length,bedrooms,bathrooms,floors,legal_status,street,ward,district,city
10.5,"Nhà ngõ, hẻm",92.4,4.2,22,4,3,4,Đã có sổ,Duong Duong Ba Trac, Phường 2, Quận 8, Tp Hồ Chí Minh
4.68,"Nhà ngõ, hẻm",42,3.5,12,3,2,2,Đã có sổ,Duong Pham The Hien, Phường 4, Quận 8, Tp Hồ Chí Minh
5.3,"Nhà ngõ, hẻm",64,4,16,2,2,2,Đã có sổ,Duong An Duong Vuong, Phường 16, Quận 8, Tp Hồ Chí Minh
3.6,"Nhà ngõ, hẻm",40.3,3.1,13,5,3,3,Đã có sổ,Duong Ben Binh Dong, Phường 15, Quận 8, Tp Hồ Chí Minh
0.52,"Nhà ngõ, hẻm",17.5,3.5,5,1,1,1,Không có sổ,Duong Quoc Lo 50, Phường 5, Quận 8, Tp Hồ Chí Minh
9,"Nhà ngõ, hẻm",48,4,12,4,3,3,Đã có sổ,Duong Au Duong Lan, Phường 2, Quận 8, Tp Hồ Chí Minh
4.5,"Nhà ngõ, hẻm",40,4,10,2,2,2,Đã có sổ,Duong Pham The Hien, Phường 6, Quận 8, Tp Hồ Chí Minh
6,"Nhà mặt phố, mặt tiền",57.6,3.6,16,2,2,2,Đã có sổ,Duong Nguyen Van Cua, Phường 13, Quận 8, Tp Hồ Chí Minh
4.78,"Nhà ngõ, hẻm",48,3,16,3,3,1,Đã có sổ,Duong Binh Dong, Phường 13, Quận 8, Tp Hồ Chí Minh
4.55,"Nhà ngõ, hẻm",32.3,3.4,9.5,2,2,2,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
3.9,"Nhà ngõ, hẻm",30.08,3.2,9.4,2,2,2,Đã có sổ,Duong Nguyen Duy, Phường 9, Quận 8, Tp Hồ Chí Minh
8.2,"Nhà ngõ, hẻm",88,4,22,6,4,4,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
3.8,"Nhà ngõ, hẻm",76,5,15.2,2,1,1,Đã có sổ,Duong Binh Duc, Phường 15, Quận 8, Tp Hồ Chí Minh
6.3,"Nhà ngõ, hẻm",44,4,11,3,3,3,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
5.95,"Nhà ngõ, hẻm",52.5,3.5,15,3,3,4,Đã có sổ,Duong Ta Quang Buu, Phường 5, Quận 8, Tp Hồ Chí Minh
6.5,"Nhà ngõ, hẻm",48.96,3.6,13.6,4,3,4,Đã có sổ,Duong Duong Ba Trac, Phường 1, Quận 8, Tp Hồ Chí Minh
3.95,"Nhà ngõ, hẻm",67.5,4.5,15,3,2,2,Đã có sổ,Duong Nguyen Duy, Phường 9, Quận 8, Tp Hồ Chí Minh
4.68,"Nhà ngõ, hẻm",42,3.5,12,3,2,2,Đã có sổ,Duong Pham Hung, Phường 4, Quận 8, Tp Hồ Chí Minh
2.3,"Nhà ngõ, hẻm",24.3,2.7,9,4,3,3,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
2.58,"Nhà ngõ, hẻm",17.5,2.5,7,2,1,2,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
2.2,"Nhà ngõ, hẻm",68,4,17,3,2,2,Giấy tờ viết tay,Duong Pham The Hien, Phường 6, Quận 8, Tp Hồ Chí Minh
4,"Nhà ngõ, hẻm",53.2,3.8,14,2,2,2,Đã có sổ,Duong Pham The Hien, Phường 7, Quận 8, Tp Hồ Chí Minh
8.6,"Nhà mặt phố, mặt tiền",41.6,3.2,13,4,2,4,Đã có sổ,Duong Hung Phu, Phường 9, Quận 8, Tp Hồ Chí Minh
5.45,"Nhà ngõ, hẻm",25.6,3.2,8,3,4,5,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
5.38,"Nhà ngõ, hẻm",57.8,3.4,17,3,2,2,Đã có sổ,Duong Bui Minh Truc, Phường 5, Quận 8, Tp Hồ Chí Minh
4.3,"Nhà ngõ, hẻm",50.15,5.9,8.5,4,3,4,Đã có sổ,Duong Pham The Hien, Phường 7, Quận 8, Tp Hồ Chí Minh
4.2,"Nhà ngõ, hẻm",29.68,5.3,5.6,2,2,22,Đã có sổ,Duong Pham The Hien, Phường 1, Quận 8, Tp Hồ Chí Minh
5.45,"Nhà ngõ, hẻm",27.2,3.2,8.5,3,4,5,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
5.6,"Nhà ngõ, hẻm",104,4,26,2,1,1,Đã có sổ,Duong Bong Sao, Phường 5, Quận 8, Tp Hồ Chí Minh
0.55,"Nhà ngõ, hẻm",19.25,3.5,5.5,1,1,1,Không có sổ,Duong Quoc Lo 50, Phường 5, Quận 8, Tp Hồ Chí Minh
7.98,"Nhà ngõ, hẻm",88,4,22,5,4,4,Đã có sổ,Duong Au Duong Lan, Phường 3, Quận 8, Tp Hồ Chí Minh
