"Quan","Q1","Q2"
"quan 1","5.7","12.5"
"quan thu duc","4.6","6.904"
"quan 3","5.7","8.842"
"quan 4","3.8","5.6"
"quan 5","4.9","9.5"
"quan 6","4.7773","8.6"
"quan 7","4.4","7.5"
"quan 8","3.734","5.45"
"quan 10","6.0","9.8"
"quan 11","5.3776","8.3"
"quan 12","3.8","5.5"
"huyen nha be","2.8","6.1"
"huyen binh chanh","0.86","1.52"
"huyen can gio ","2.0915","2.2862"
"huyen hoc mon ","2.0345","4.5"
"huyen cu chi","1.3","1.98"
"quan binh tan","4.0","5.65"
"quan tan binh ","5.6","8.9"
"quan tan phu ","4.65","6.95"
"quan binh thanh ","5.247","8.0"
"quan go vap","4.75","6.65"
"quan phu nhuan","5.95","8.3"
